query,source,author,title,description,content,url,published_at,text,sentiment
deepfake,The New York Times,By Sam Corbin,Our Favorite Crossword Debuts of 2024,Our puzzle editors and Wordplay columnists share their favorite new entries to the New York Times Crossword this year.,Our puzzle editors and Wordplay columnists share their favorite new entries to the New York Times Crossword this year.,https://www.nytimes.com/2024/12/30/crosswords/2024-crossword-debuts.html,2024-12-30T22:00:02Z,Our Favorite Crossword Debuts of 2024. Our puzzle editors and Wordplay columnists share their favorite new entries to the New York Times Crossword this year.. Our puzzle editors and Wordplay columnists share their favorite new entries to the New York Times Crossword this year.,0.29220779220779214
deepfake,The New York Times,,20 Books Coming in January,"Novels by Adam Ross, Han Kang and Nnedi Okorafor; nonfiction by Imani Perry and the “Hipster Grifter”; and more.","Novels by Adam Ross, Han Kang and Nnedi Okorafor; nonfiction by Imani Perry and the “Hipster Grifter”; and more.",https://www.nytimes.com/2024/12/26/books/new-books-january.html,2024-12-26T10:00:33Z,"20 Books Coming in January. Novels by Adam Ross, Han Kang and Nnedi Okorafor; nonfiction by Imani Perry and the “Hipster Grifter”; and more.. Novels by Adam Ross, Han Kang and Nnedi Okorafor; nonfiction by Imani Perry and the “Hipster Grifter”; and more.",0.5
deepfake,The New York Times,,What Keeps Us Going,Times Opinion staffers share how they escaped it all this year.,Times Opinion staffers share how they escaped it all this year.,https://www.nytimes.com/2024/12/25/briefing/memes-movies-music-2024.html,2024-12-25T11:26:19Z,What Keeps Us Going. Times Opinion staffers share how they escaped it all this year.. Times Opinion staffers share how they escaped it all this year.,0.0
deepfake,The New York Times,,What We Loved in 2024,"The books, movies, habits and hobbies we’ll take with us into the new year.","The books, movies, habits and hobbies we’ll take with us into the new year.",https://www.nytimes.com/interactive/2024/12/25/opinion/best-of-2024.html,2024-12-25T10:00:50Z,"What We Loved in 2024. The books, movies, habits and hobbies we’ll take with us into the new year.. The books, movies, habits and hobbies we’ll take with us into the new year.",0.3242424242424242
deepfake,The New York Times,By Nicholas Kristof,Blake Lively Turns the Shame Around,The actress’s lawsuit may prolong a humiliating episode for her. But the only way to end impunity is to speak up.,The actress’s lawsuit may prolong a humiliating episode for her. But the only way to end impunity is to speak up.,https://www.nytimes.com/2024/12/24/opinion/blake-lively-lawsuit.html,2024-12-24T16:42:50Z,Blake Lively Turns the Shame Around. The actress’s lawsuit may prolong a humiliating episode for her. But the only way to end impunity is to speak up.. The actress’s lawsuit may prolong a humiliating episode for her. But the only way to end impunity is to speak up.,0.04545454545454545
deepfake,The New York Times,By Minho Kim,"Dropped From Spending Bill, Cancer Research and D.C. Stadium Measures Revived by Senate","Two bills on pediatric cancer research and a football stadium site had been left out of the main spending package, but passed early Saturday as separate legislation.","Two bills on pediatric cancer research and a football stadium site had been left out of the main spending package, but passed early Saturday as separate legislation.",https://www.nytimes.com/2024/12/21/us/politics/spending-pediatric-cancer-stadium.html,2024-12-21T23:08:30Z,"Dropped From Spending Bill, Cancer Research and D.C. Stadium Measures Revived by Senate. Two bills on pediatric cancer research and a football stadium site had been left out of the main spending package, but passed early Saturday as separate legislation.. Two bills on pediatric cancer research and a football stadium site had been left out of the main spending package, but passed early Saturday as separate legislation.",0.08888888888888889
deepfake,The New York Times,By Kate Conger,The spending deal Musk helped kill included an X-backed bill to help victims of deepfake porn,,,https://www.nytimes.com/live/2024/12/20/us/government-shutdown-trump-news/an-x-supported-bill-to-help-victims-of-deepfake-porn-fell-with-the-spending-measure-musk-help-kill,2024-12-20T22:18:23Z,The spending deal Musk helped kill included an X-backed bill to help victims of deepfake porn. .,0.0
deepfake,The New York Times,By Frank Bruni,What if Trump Doesn’t Need to Keep Any of His Promises?,"For the 47th president, illusion is the new accountability.","For the 47th president, illusion is the new accountability.",https://www.nytimes.com/2024/12/19/opinion/donald-trump-promises.html,2024-12-19T17:00:02Z,"What if Trump Doesn’t Need to Keep Any of His Promises?. For the 47th president, illusion is the new accountability.. For the 47th president, illusion is the new accountability.",0.13636363636363635
deepfake,The New York Times,By Catie Edmondson,"Inside a Huge Spending Deal: Disaster Money, a Football Stadium and More",The mammoth year-end federal funding measure congressional leaders agreed on does far more than just keep the government running. It is stuffed with all manner of policy and other changes.,The mammoth year-end federal funding measure congressional leaders agreed on does far more than just keep the government running. It is stuffed with all manner of policy and other changes.,https://www.nytimes.com/2024/12/18/us/politics/spending-bill-explainer.html,2024-12-18T19:50:19Z,"Inside a Huge Spending Deal: Disaster Money, a Football Stadium and More. The mammoth year-end federal funding measure congressional leaders agreed on does far more than just keep the government running. It is stuffed with all manner of policy and other changes.. The mammoth year-end federal funding measure congressional leaders agreed on does far more than just keep the government running. It is stuffed with all manner of policy and other changes.",0.23125
deepfake,The New York Times,By Catie Edmondson and Maya C. Miller,Congressional Leaders Unveil Short-Term Spending Bill Tied to Disaster Aid,"What started out as a simple stopgap measure to avert a shutdown for a few months became a magnet for more than $100 billion in emergency disaster and farm aid, plus a host of unrelated policy measures.","What started out as a simple stopgap measure to avert a shutdown for a few months became a magnet for more than $100 billion in emergency disaster and farm aid, plus a host of unrelated policy measures.",https://www.nytimes.com/2024/12/17/world/europe/congress-short-term-spending-bill.html,2024-12-18T01:21:33Z,"Congressional Leaders Unveil Short-Term Spending Bill Tied to Disaster Aid. What started out as a simple stopgap measure to avert a shutdown for a few months became a magnet for more than $100 billion in emergency disaster and farm aid, plus a host of unrelated policy measures.. What started out as a simple stopgap measure to avert a shutdown for a few months became a magnet for more than $100 billion in emergency disaster and farm aid, plus a host of unrelated policy measures.",0.09999999999999999
fake news,The New York Times,,Democratic Fears of a Constitutional Convention,Readers discuss the possibility of Republicans pushing for one. Also: Care for migrant children; sober at parties; Rudolph at Dartmouth.,Readers discuss the possibility of Republicans pushing for one. Also: Care for migrant children; sober at parties; Rudolph at Dartmouth.,https://www.nytimes.com/2024/12/29/opinion/letters/constitutional-convention.html,2024-12-29T14:00:05Z,Democratic Fears of a Constitutional Convention. Readers discuss the possibility of Republicans pushing for one. Also: Care for migrant children; sober at parties; Rudolph at Dartmouth.. Readers discuss the possibility of Republicans pushing for one. Also: Care for migrant children; sober at parties; Rudolph at Dartmouth.,0.1
fake news,The New York Times,By The Styles Desk,12 Predictions for Life in 2025,"What will we wear, eat, buy, believe, desire?","What will we wear, eat, buy, believe, desire?",https://www.nytimes.com/2024/12/29/style/trends-predictions-2025.html,2024-12-29T10:01:40Z,"12 Predictions for Life in 2025. What will we wear, eat, buy, believe, desire?. What will we wear, eat, buy, believe, desire?",0.0
fake news,The New York Times,,Read the document,"President-elect Donald J. Trump filed a brief asking the Supreme Court to block a law that requires TikTok to be sold or shut down by Jan. 19, the day before his inauguration.","President-elect Donald J. Trump filed a brief asking the Supreme Court to block a law that requires TikTok to be sold or shut down by Jan. 19, the day before his inauguration.",https://www.nytimes.com/interactive/2024/12/27/us/tiktoktrumpamicusbrief.html,2024-12-28T02:16:47Z,"Read the document. President-elect Donald J. Trump filed a brief asking the Supreme Court to block a law that requires TikTok to be sold or shut down by Jan. 19, the day before his inauguration.. President-elect Donald J. Trump filed a brief asking the Supreme Court to block a law that requires TikTok to be sold or shut down by Jan. 19, the day before his inauguration.",-0.07777777777777778
fake news,The New York Times,By Justin Porter,The Evening: Record Homelessness in the U.S.,"Plus, how to get fitter in 2025.","Plus, how to get fitter in 2025.",https://www.nytimes.com/2024/12/27/briefing/homelessness-epa-forever-chemicals-south-korea.html,2024-12-27T22:01:06Z,"The Evening: Record Homelessness in the U.S.. Plus, how to get fitter in 2025.. Plus, how to get fitter in 2025.",0.0
fake news,The New York Times,By Frank Bruni,The Best Sentences of 2024,An ugly year in politics was a gorgeous one for words.,An ugly year in politics was a gorgeous one for words.,https://www.nytimes.com/2024/12/26/opinion/best-sentences-of-2024.html,2024-12-26T17:00:03Z,The Best Sentences of 2024. An ugly year in politics was a gorgeous one for words.. An ugly year in politics was a gorgeous one for words.,0.2
fake news,The New York Times,By Yan Zhuang and Rawan Sheikh Ahmad,Palestinian Officials Say 5 Journalists Are Killed in Gaza Strike,The Israeli military said it had struck a vehicle containing a “terrorist cell” in the Nuseirat area of Gaza.,The Israeli military said it had struck a vehicle containing a “terrorist cell” in the Nuseirat area of Gaza.,https://www.nytimes.com/2024/12/25/world/middleeast/israel-strike-journalists-gaza.html,2024-12-26T03:47:46Z,Palestinian Officials Say 5 Journalists Are Killed in Gaza Strike. The Israeli military said it had struck a vehicle containing a “terrorist cell” in the Nuseirat area of Gaza.. The Israeli military said it had struck a vehicle containing a “terrorist cell” in the Nuseirat area of Gaza.,-0.13333333333333333
fake news,The New York Times,By Natasha Frost,Tuesday Briefing,Here’s what you need to know.,Here’s what you need to know.,https://www.nytimes.com/2024/12/24/briefing/gaetz-netanyahu-putin.html,2024-12-24T05:02:05Z,Tuesday Briefing. Here’s what you need to know.. Here’s what you need to know.,0.0
fake news,The New York Times,By Gaya Gupta,Tuesday Briefing: The Matt Gaetz Report is Out,"Plus, celebrating “Chrismukkah.”","Plus, celebrating “Chrismukkah.”",https://www.nytimes.com/2024/12/23/briefing/gaetz-report-germany-automakers.html,2024-12-23T21:05:34Z,"Tuesday Briefing: The Matt Gaetz Report is Out. Plus, celebrating “Chrismukkah.”. Plus, celebrating “Chrismukkah.”",0.0
fake news,The New York Times,By William J. Broad,How Hallucinatory A.I. Helps Science Dream Up Big Breakthroughs,"Hallucinations, a bane of popular A.I. programs, turn out to be a boon for venturesome scientists eager to push back the frontiers of human knowledge.","Hallucinations, a bane of popular A.I. programs, turn out to be a boon for venturesome scientists eager to push back the frontiers of human knowledge.",https://www.nytimes.com/2024/12/23/science/ai-hallucinations-science.html,2024-12-23T14:56:53Z,"How Hallucinatory A.I. Helps Science Dream Up Big Breakthroughs. Hallucinations, a bane of popular A.I. programs, turn out to be a boon for venturesome scientists eager to push back the frontiers of human knowledge.. Hallucinations, a bane of popular A.I. programs, turn out to be a boon for venturesome scientists eager to push back the frontiers of human knowledge.",0.17142857142857143
fake news,The New York Times,"By Frank Bruni, Tim Ryan, Anat Shenker-Osorio and Lis Smith",‘The Democratic Brand Is in the Toilet’: 4 Writers Dive Deep Into the Party’s Distress,"Assessing newer voices, and future strategies.","Assessing newer voices, and future strategies.",https://www.nytimes.com/2024/12/23/opinion/democrats-election-future.html,2024-12-23T10:01:52Z,"‘The Democratic Brand Is in the Toilet’: 4 Writers Dive Deep Into the Party’s Distress. Assessing newer voices, and future strategies.. Assessing newer voices, and future strategies.",-0.008333333333333333
misinformation,The New York Times,By Michelle Cottle,The 2024 High School Yearbook of American Politics,"​My year-end awards in politics for hottest kingmaker, biggest flash in the pan, top mean girl, most disappointing draft pick and more.","​My year-end awards in politics for hottest kingmaker, biggest flash in the pan, top mean girl, most disappointing draft pick and more.",https://www.nytimes.com/2024/12/30/opinion/donald-trump-elon-musk-taylor-swift-politics.html,2024-12-30T10:02:03Z,"The 2024 High School Yearbook of American Politics. ​My year-end awards in politics for hottest kingmaker, biggest flash in the pan, top mean girl, most disappointing draft pick and more.. ​My year-end awards in politics for hottest kingmaker, biggest flash in the pan, top mean girl, most disappointing draft pick and more.",0.11125
misinformation,The New York Times,By Cecilia Kang and Adam Satariano,Social Media Companies Face Global Tug-of-War Over Free Speech,President-elect Donald J. Trump’s picks for the F.C.C. and F.T.C. have vowed to remove censorship online. That conflicts with European regulators who are pushing for stricter moderation.,President-elect Donald J. Trump’s picks for the F.C.C. and F.T.C. have vowed to remove censorship online. That conflicts with European regulators who are pushing for stricter moderation.,https://www.nytimes.com/2024/12/30/technology/trump-administration-speech-policy.html,2024-12-30T10:01:30Z,Social Media Companies Face Global Tug-of-War Over Free Speech. President-elect Donald J. Trump’s picks for the F.C.C. and F.T.C. have vowed to remove censorship online. That conflicts with European regulators who are pushing for stricter moderation.. President-elect Donald J. Trump’s picks for the F.C.C. and F.T.C. have vowed to remove censorship online. That conflicts with European regulators who are pushing for stricter moderation.,0.08666666666666667
misinformation,The New York Times,By Pamela Colloff,He Dialed 911 to Save His Baby. Then His Children Were Taken Away.,The controversial medical diagnosis of shaken baby syndrome can send parents to jail. What if the symptoms are caused by something else?,The controversial medical diagnosis of shaken baby syndrome can send parents to jail. What if the symptoms are caused by something else?,https://www.nytimes.com/2024/12/29/magazine/shaken-baby-syndrome-diagnosis.html,2024-12-29T10:02:11Z,He Dialed 911 to Save His Baby. Then His Children Were Taken Away.. The controversial medical diagnosis of shaken baby syndrome can send parents to jail. What if the symptoms are caused by something else?. The controversial medical diagnosis of shaken baby syndrome can send parents to jail. What if the symptoms are caused by something else?,0.15
misinformation,The New York Times,By William McDonald,"In a Political Year, Some Deaths Spoke to the Struggles for Democracy","Among the notable figures who died in a sometimes polarizing 2024, many championed justice, equal rights and political freedom.","Among the notable figures who died in a sometimes polarizing 2024, many championed justice, equal rights and political freedom.",https://www.nytimes.com/2024/12/27/obituaries/in-a-political-year-some-deaths-spoke-to-the-struggles-for-democracy.html,2024-12-27T17:46:58Z,"In a Political Year, Some Deaths Spoke to the Struggles for Democracy. Among the notable figures who died in a sometimes polarizing 2024, many championed justice, equal rights and political freedom.. Among the notable figures who died in a sometimes polarizing 2024, many championed justice, equal rights and political freedom.",0.2222222222222222
misinformation,The New York Times,By Costas Christ,Safari on Your Bucket List? Pick the Right One.,"Choosing an operator that is conservation-minded, with ties to the local community and well-trained guides can add up to the trip of a lifetime and also nurture nature.","Choosing an operator that is conservation-minded, with ties to the local community and well-trained guides can add up to the trip of a lifetime and also nurture nature.",https://www.nytimes.com/2024/12/27/travel/safari-tour-vacation.html,2024-12-27T10:00:19Z,"Safari on Your Bucket List? Pick the Right One.. Choosing an operator that is conservation-minded, with ties to the local community and well-trained guides can add up to the trip of a lifetime and also nurture nature.. Choosing an operator that is conservation-minded, with ties to the local community and well-trained guides can add up to the trip of a lifetime and also nurture nature.",0.09523809523809523
misinformation,The New York Times,By David Brooks,The Sidney Awards,"A revelatory portrait, an “American Vulcan,” a sober take on DOGE and more.","A revelatory portrait, an “American Vulcan,” a sober take on DOGE and more.",https://www.nytimes.com/2024/12/26/opinion/sidney-awards.html,2024-12-27T00:00:05Z,"The Sidney Awards. A revelatory portrait, an “American Vulcan,” a sober take on DOGE and more.. A revelatory portrait, an “American Vulcan,” a sober take on DOGE and more.",0.19999999999999998
misinformation,The New York Times,,20 Books Coming in January,"Novels by Adam Ross, Han Kang and Nnedi Okorafor; nonfiction by Imani Perry and the “Hipster Grifter”; and more.","Novels by Adam Ross, Han Kang and Nnedi Okorafor; nonfiction by Imani Perry and the “Hipster Grifter”; and more.",https://www.nytimes.com/2024/12/26/books/new-books-january.html,2024-12-26T10:00:33Z,"20 Books Coming in January. Novels by Adam Ross, Han Kang and Nnedi Okorafor; nonfiction by Imani Perry and the “Hipster Grifter”; and more.. Novels by Adam Ross, Han Kang and Nnedi Okorafor; nonfiction by Imani Perry and the “Hipster Grifter”; and more.",0.5
misinformation,The New York Times,By Andrew Duehren,How a Consulting Firm and Trump’s I.R.S. Pick Pushed a Problematic Tax Credit,"Billy Long worked with Lifetime Advisors, a company that solicited clients to claim a pandemic-era tax credit that the I.R.S. said became a magnet for fraud.","Billy Long worked with Lifetime Advisors, a company that solicited clients to claim a pandemic-era tax credit that the I.R.S. said became a magnet for fraud.",https://www.nytimes.com/2024/12/24/business/billy-long-irs-tax-credit.html,2024-12-24T15:17:15Z,"How a Consulting Firm and Trump’s I.R.S. Pick Pushed a Problematic Tax Credit. Billy Long worked with Lifetime Advisors, a company that solicited clients to claim a pandemic-era tax credit that the I.R.S. said became a magnet for fraud.. Billy Long worked with Lifetime Advisors, a company that solicited clients to claim a pandemic-era tax credit that the I.R.S. said became a magnet for fraud.",-0.09999999999999999
misinformation,The New York Times,By Emily Baumgaertner,Research Finds Vaccines Are Not Behind the Rise in Autism. So What Is?,There is no one factor that causes autism — or explains its growing prevalence. Researchers are seeking explanations for the surge. Here are some possibilities.,There is no one factor that causes autism — or explains its growing prevalence. Researchers are seeking explanations for the surge. Here are some possibilities.,https://www.nytimes.com/2024/12/23/health/what-causes-autism.html,2024-12-23T18:32:26Z,Research Finds Vaccines Are Not Behind the Rise in Autism. So What Is?. There is no one factor that causes autism — or explains its growing prevalence. Researchers are seeking explanations for the surge. Here are some possibilities.. There is no one factor that causes autism — or explains its growing prevalence. Researchers are seeking explanations for the surge. Here are some possibilities.,0.2
misinformation,The New York Times,By Noah Weiland,"As RFK Jr. Pursues Bid for Health Secretary, Federal Authorities Begin Campaign for Childhood Vaccines","“Parents have heard so much misinformation,” Kaye Hayes, a federal infectious disease official, said in a statement announcing the campaign.  “Many of them are overwhelmed.”","“Parents have heard so much misinformation,” Kaye Hayes, a federal infectious disease official, said in a statement announcing the campaign.  “Many of them are overwhelmed.”",https://www.nytimes.com/2024/12/20/us/politics/hhs-childhood-vaccines-campaign-rfk-jr.html,2024-12-20T19:37:39Z,"As RFK Jr. Pursues Bid for Health Secretary, Federal Authorities Begin Campaign for Childhood Vaccines. “Parents have heard so much misinformation,” Kaye Hayes, a federal infectious disease official, said in a statement announcing the campaign. “Many of them are overwhelmed.”. “Parents have heard so much misinformation,” Kaye Hayes, a federal infectious disease official, said in a statement announcing the campaign. “Many of them are overwhelmed.”",0.35
